name,serving_size,serving_unit,protein_g,fat_g,carbs_g,calories,category
Egg Omelet Or Scrambled Egg With Cheese And Tomatoes Fat Not Added In Cooking,100.0,g,8.8,7.7,3.0,117.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese And Tomatoes Ns As To Fat Added In Cooking,100.0,g,8.5,10.6,2.9,142.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese And Vegetables Other Than Dark Green And/or Tomatoes Fat Added In Cooking,100.0,g,9.5,14.2,3.4,180.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese And Vegetables Other Than Dark Green And/or Tomatoes Fat Not Added In Cooking,100.0,g,10.1,8.8,3.6,135.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese And Vegetables Other Than Dark Green And/or Tomatoes Ns As To Fat Added In Cooking,100.0,g,9.5,14.2,3.4,180.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Made With Animal Fat Or Meat Drippings,100.0,g,13.0,16.0,2.0,208.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Made With Butter,100.0,g,12.9,15.9,2.0,204.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Made With Cooking Spray,100.0,g,13.4,12.5,2.2,178.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Made With Margarine,100.0,g,12.8,15.8,2.0,204.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Made With Oil,100.0,g,12.8,16.7,2.0,212.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Made Without Fat,100.0,g,13.4,12.2,2.1,175.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Meat And Dark-Green Vegetables Fat Added In Cooking,100.0,g,14.4,17.4,2.4,226.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Meat And Dark-Green Vegetables Fat Not Added In Cooking,100.0,g,14.9,14.1,2.5,199.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Meat And Dark-Green Vegetables Ns As To Fat Added In Cooking,100.0,g,14.4,17.4,2.4,226.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Meat And Tomatoes Fat Added In Cooking,100.0,g,11.5,13.9,2.7,183.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Meat And Tomatoes Fat Not Added In Cooking,100.0,g,11.8,11.2,2.8,161.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Meat And Tomatoes Ns As To Fat Added In Cooking,100.0,g,11.5,13.9,2.7,183.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Meat And Vegetables Other Than Dark-Green And/or Tomatoes Fat Added In Cooking,100.0,g,13.1,18.1,2.7,228.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Meat And Vegetables Other Than Dark-Green And/or Tomatoes Fat Not Added In Cooking,100.0,g,13.8,13.0,2.9,186.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Meat And Vegetables Other Than Dark-Green And/or Tomatoes Ns As To Fat Added In Cooking,100.0,g,13.1,18.1,2.7,228.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Meat Tomatoes And Dark-Green Vegetables Fat Added In Cooking,100.0,g,13.7,16.5,2.5,215.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Meat Tomatoes And Dark-Green Vegetables Fat Not Added In Cooking,100.0,g,14.1,13.3,2.6,189.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Meat Tomatoes And Dark-Green Vegetables Ns As To Fat Added In Cooking,100.0,g,13.7,16.5,2.5,215.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Tomatoes And Dark-Green Vegetables Fat Added In Cooking,100.0,g,10.2,12.8,2.8,167.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Tomatoes And Dark-Green Vegetables Fat Not Added In Cooking,100.0,g,10.6,9.3,2.9,139.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Cheese Tomatoes And Dark-Green Vegetables Ns As To Fat Added In Cooking,100.0,g,10.2,12.8,2.8,167.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Dark-Green Vegetables Fat Added In Cooking,100.0,g,9.8,11.7,2.7,156.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Dark-Green Vegetables Fat Not Added In Cooking,100.0,g,10.2,7.3,2.8,119.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Dark-Green Vegetables Ns As To Fat Added In Cooking,100.0,g,9.8,11.7,2.7,156.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat And Dark-Green Vegetables Fat Added In Cooking,100.0,g,12.3,13.8,2.6,186.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat And Dark-Green Vegetables Fat Not Added In Cooking,100.0,g,12.7,10.1,2.7,155.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat And Dark-Green Vegetables Ns As To Fat Added In Cooking,100.0,g,12.3,13.8,2.6,186.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat And Tomatoes Fat Added In Cooking,100.0,g,10.5,12.1,2.7,163.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat And Tomatoes Fat Not Added In Cooking,100.0,g,10.8,9.1,2.8,138.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat And Tomatoes Ns As To Fat Added In Cooking,100.0,g,10.5,12.1,2.7,163.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat And Vegetables Other Than Dark-Green And/or Tomatoes Fat Added In Cooking,100.0,g,12.0,16.4,2.6,208.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat And Vegetables Other Than Dark-Green And/or Tomatoes Fat Not Added In Cooking,100.0,g,12.7,10.8,2.8,161.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat And Vegetables Other Than Dark-Green And/or Tomatoes Ns As To Fat Added In Cooking,100.0,g,12.0,16.4,2.6,208.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat Made With Animal Fat Or Meat Drippings,100.0,g,14.9,16.6,2.2,222.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat Made With Butter,100.0,g,14.8,16.5,2.2,220.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat Made With Cooking Spray,100.0,g,15.3,14.0,2.3,200.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat Made With Margarine,100.0,g,14.8,16.5,2.2,220.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat Made With Oil,100.0,g,14.8,17.1,2.2,225.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat Made Without Fat,100.0,g,15.3,13.7,2.3,198.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat Ns As To Fat Added In Cooking,100.0,g,14.8,16.7,2.2,221.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat Ns As To Type Of Fat,100.0,g,14.8,16.7,2.2,221.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat Tomatoes And Dark-Green Vegetables Fat Added In Cooking,100.0,g,11.5,13.1,2.5,176.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat Tomatoes And Dark-Green Vegetables Fat Not Added In Cooking,100.0,g,11.9,9.5,2.6,147.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Meat Tomatoes And Dark-Green Vegetables Ns As To Fat Added In Cooking,100.0,g,11.5,13.1,2.5,176.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Potatoes And/or Onions Fat Added In Cooking,100.0,g,7.6,11.1,8.1,163.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Potatoes And/or Onions Fat Not Added In Cooking,100.0,g,8.0,5.5,8.5,117.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Potatoes And/or Onions Ns As To Fat Added In Cooking,100.0,g,7.6,11.1,8.1,163.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Tomatoes And Dark-Green Vegetables Fat Added In Cooking,100.0,g,8.7,10.4,2.7,140.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Tomatoes And Dark-Green Vegetables Fat Not Added In Cooking,100.0,g,9.1,6.5,2.8,107.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Tomatoes And Dark-Green Vegetables Ns As To Fat Added In Cooking,100.0,g,8.7,10.4,2.7,140.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Tomatoes Fat Added In Cooking,100.0,g,7.2,8.5,2.8,117.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Tomatoes Fat Not Added In Cooking,100.0,g,7.4,5.3,2.9,90.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Tomatoes Ns As To Fat Added In Cooking,100.0,g,7.2,8.5,2.8,117.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Vegetables Other Than Dark Green And/or Tomatoes Fat Added In Cooking,100.0,g,8.1,12.2,3.4,155.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Vegetables Other Than Dark Green And/or Tomatoes Fat Not Added In Cooking,100.0,g,8.6,6.1,3.6,105.0,Dairy and Egg Products
Egg Omelet Or Scrambled Egg With Vegetables Other Than Dark Green And/or Tomatoes Ns As To Fat Added In Cooking,100.0,g,8.1,12.2,3.4,155.0,Dairy and Egg Products
Egg Quail Whole Fresh Raw,100.0,g,13.1,11.1,0.4,158.0,Dairy and Egg Products
Egg Roll Meatless,100.0,g,5.6,14.1,30.0,269.0,Prepared Meals
Egg Roll With Beef And/or Pork,100.0,g,9.4,14.3,27.9,277.0,Prepared Meals
Egg Roll With Chicken Or Turkey,100.0,g,9.9,11.8,27.0,253.0,Prepared Meals
Egg Roll With Shrimp,100.0,g,5.6,14.1,30.0,269.0,Prepared Meals
Egg Rolls Chicken Refrigerated Heated,100.0,g,10.4,4.5,28.5,197.0,Prepared Meals
Egg Rolls Pork Refrigerated Heated,100.0,g,9.9,8.2,28.5,227.0,Prepared Meals
Egg Rolls Vegetable Frozen Prepared,100.0,g,6.0,7.0,31.8,214.0,Prepared Meals
Egg Salad Made With Any Type Of Fat Free Dressing,100.0,g,9.8,8.8,4.3,139.0,Dairy and Egg Products
Egg Salad Made With Creamy Dressing,100.0,g,10.2,17.7,2.1,212.0,Dairy and Egg Products
Egg Salad Made With Italian Dressing,100.0,g,10.0,12.7,3.4,172.0,Dairy and Egg Products
Egg Salad Made With Light Creamy Dressing,100.0,g,10.2,11.3,2.4,155.0,Dairy and Egg Products
Egg Salad Made With Light Italian Dressing,100.0,g,10.2,12.4,2.2,163.0,Dairy and Egg Products
Egg Salad Made With Light Mayonnaise,100.0,g,10.0,13.0,2.8,172.0,Dairy and Egg Products
Egg Salad Made With Light Mayonnaise-Type Salad Dressing,100.0,g,10.0,13.0,2.8,172.0,Dairy and Egg Products
Egg Salad Made With Mayonnaise,100.0,g,10.3,23.1,1.0,257.0,Dairy and Egg Products
Egg Salad Made With Mayonnaise-Type Salad Dressing,100.0,g,10.1,12.8,3.9,174.0,Dairy and Egg Products
Egg Salad Sandwich,100.0,g,9.0,20.8,17.6,296.0,Fast Foods
Egg Scrambled,100.0,g,13.8,16.2,2.1,212.0,Fast Foods
Egg Substitute Cheese Flavored Omelet Scrambled Or Fried Fat Added In Cooking,100.0,g,10.6,7.2,2.1,114.0,Dairy and Egg Products
Egg Substitute Cheese Flavored Omelet Scrambled Or Fried Fat Not Added In Cooking,100.0,g,11.3,0.0,2.3,54.0,Dairy and Egg Products
Egg Substitute Cheese Flavored Omelet Scrambled Or Fried Ns As To Fat Added In Cooking,100.0,g,10.6,7.2,2.1,114.0,Dairy and Egg Products
Egg Substitute Liquid Or Frozen Fat Free,100.0,g,10.0,0.0,2.0,48.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried Made With Butter,100.0,g,10.6,6.1,2.1,104.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried Made With Cooking Spray,100.0,g,11.2,0.5,2.4,59.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried Made With Margarine,100.0,g,10.6,6.0,2.2,104.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried Made With Oil,100.0,g,10.6,7.2,2.1,114.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried Made Without Fat,100.0,g,11.3,0.0,2.3,54.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried Ns As To Fat Added In Cooking,100.0,g,10.6,6.4,2.1,107.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried Ns As To Type Of Fat,100.0,g,10.6,6.4,2.1,107.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Cheese And Meat Fat Added In Cooking,100.0,g,16.1,15.7,2.5,217.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Cheese And Meat Fat Not Added In Cooking,100.0,g,16.7,12.1,2.6,187.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Cheese And Meat Ns As To Fat Added In Cooking,100.0,g,16.1,15.7,2.5,217.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Cheese And Vegetables Fat Added In Cooking,100.0,g,8.9,10.4,3.8,142.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Cheese And Vegetables Fat Not Added In Cooking,100.0,g,9.5,3.8,4.0,87.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Cheese And Vegetables Ns As To Fat Added In Cooking,100.0,g,8.9,10.4,3.8,142.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Cheese Fat Added In Cooking,100.0,g,12.7,11.5,2.3,163.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Cheese Fat Not Added In Cooking,100.0,g,13.5,5.6,2.4,115.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Cheese Meat And Vegetables Fat Added In Cooking,100.0,g,13.0,15.0,3.0,199.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Cheese Meat And Vegetables Fat Not Added In Cooking,100.0,g,13.8,8.9,3.2,148.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Cheese Meat And Vegetables Ns As To Fat Added In Cooking,100.0,g,13.0,15.0,3.0,199.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Cheese Ns As To Fat Added In Cooking,100.0,g,12.7,11.5,2.3,163.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Meat And Vegetables Fat Added In Cooking,100.0,g,11.7,12.7,3.0,173.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Meat And Vegetables Fat Not Added In Cooking,100.0,g,12.6,5.8,3.2,115.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Meat And Vegetables Ns As To Fat Added In Cooking,100.0,g,11.7,12.7,3.0,173.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Meat Fat Added In Cooking,100.0,g,15.1,13.4,2.5,192.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Meat Fat Not Added In Cooking,100.0,g,15.7,9.3,2.5,158.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Meat Ns As To Fat Added In Cooking,100.0,g,15.1,13.4,2.5,192.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Vegetables Fat Added In Cooking,100.0,g,7.2,7.6,3.8,110.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Vegetables Fat Not Added In Cooking,100.0,g,7.7,0.1,4.1,46.0,Dairy and Egg Products
Egg Substitute Omelet Scrambled Or Fried With Vegetables Ns As To Fat Added In Cooking,100.0,g,7.2,7.6,3.8,110.0,Dairy and Egg Products
Egg Substitute Powder,100.0,g,55.5,13.0,21.8,444.0,Dairy and Egg Products
Egg Substitute Vegetable Flavored Omelet Scrambled Or Fried Fat Added In Cooking,100.0,g,10.6,7.2,2.1,114.0,Dairy and Egg Products
Egg Substitute Vegetable Flavored Omelet Scrambled Or Fried Fat Not Added In Cooking,100.0,g,11.3,0.0,2.3,54.0,Dairy and Egg Products
Egg Substitute Vegetable Flavored Omelet Scrambled Or Fried Ns As To Fat Added In Cooking,100.0,g,10.6,7.2,2.1,114.0,Dairy and Egg Products
Egg Turkey Whole Fresh Raw,100.0,g,13.7,11.9,1.1,171.0,Dairy and Egg Products
Egg White Cooked Fat Added In Cooking,100.0,g,11.5,6.5,0.8,111.0,Dairy and Egg Products
Egg White Cooked Fat Not Added In Cooking,100.0,g,12.3,0.2,0.8,59.0,Dairy and Egg Products
Egg White Cooked Ns As To Fat Added In Cooking,100.0,g,11.5,6.5,0.8,111.0,Dairy and Egg Products
Egg White Dried,100.0,g,81.1,0.0,7.8,382.0,Dairy and Egg Products
Egg White Dried Flakes Stabilized Glucose Reduced,100.0,g,76.9,0.0,4.2,351.0,Dairy and Egg Products
Egg White Dried Powder Stabilized Glucose Reduced,100.0,g,82.4,0.0,4.5,376.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried Made With Butter,100.0,g,11.6,6.2,0.8,108.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried Made With Cooking Spray,100.0,g,12.2,0.7,1.0,64.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried Made With Margarine,100.0,g,11.5,6.2,0.8,108.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried Made With Oil,100.0,g,11.5,7.4,0.8,119.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried Made Without Fat,100.0,g,12.3,0.2,0.8,59.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried Ns As To Fat Added In Cooking,100.0,g,11.5,6.5,0.8,111.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried Ns As To Type Of Fat,100.0,g,11.5,6.5,0.8,111.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Cheese And Meat Fat Added In Cooking,100.0,g,16.7,15.8,1.8,219.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Cheese And Meat Fat Not Added In Cooking,100.0,g,17.3,12.2,1.9,190.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Cheese And Meat Ns As To Fat Added In Cooking,100.0,g,16.7,15.8,1.8,219.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Cheese And Vegetables Fat Added In Cooking,100.0,g,9.5,10.5,3.0,145.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Cheese And Vegetables Fat Not Added In Cooking,100.0,g,10.1,3.9,3.2,90.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Cheese And Vegetables Ns As To Fat Added In Cooking,100.0,g,9.5,10.5,3.0,145.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Cheese Fat Added In Cooking,100.0,g,13.6,11.7,1.2,167.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Cheese Fat Not Added In Cooking,100.0,g,14.3,5.8,1.2,118.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Cheese Meat And Vegetables Fat Added In Cooking,100.0,g,13.6,15.1,2.3,201.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Cheese Meat And Vegetables Fat Not Added In Cooking,100.0,g,14.4,9.0,2.4,151.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Cheese Meat And Vegetables Ns As To Fat Added In Cooking,100.0,g,13.6,15.1,2.3,201.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Cheese Ns As To Fat Added In Cooking,100.0,g,13.6,11.7,1.2,167.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Meat And Vegetables Fat Added In Cooking,100.0,g,12.3,12.8,2.1,175.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Meat And Vegetables Fat Not Added In Cooking,100.0,g,13.2,5.9,2.3,118.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Meat And Vegetables Ns As To Fat Added In Cooking,100.0,g,12.3,12.8,2.1,175.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Meat Fat Added In Cooking,100.0,g,15.7,13.6,1.6,195.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Meat Fat Not Added In Cooking,100.0,g,16.4,9.4,1.7,161.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Meat Ns As To Fat Added In Cooking,100.0,g,15.7,13.6,1.6,195.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Vegetables Fat Added In Cooking,100.0,g,7.8,7.7,3.0,113.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Vegetables Fat Not Added In Cooking,100.0,g,8.3,0.2,3.2,49.0,Dairy and Egg Products
Egg White Omelet Scrambled Or Fried With Vegetables Ns As To Fat Added In Cooking,100.0,g,7.8,7.7,3.0,113.0,Dairy and Egg Products
Egg White Powder,100.0,g,84.1,0.3,4.5,357.0,Dairy and Egg Products
Egg White Raw Frozen Pasteurized,100.0,g,10.2,0.0,1.0,48.0,Dairy and Egg Products
Egg Whites (Raw),100.0,g,10.9,0.2,0.7,52.0,Dairy and Egg Products
Egg Whole Baked Fat Added In Cooking,100.0,g,10.9,12.7,1.8,168.0,Dairy and Egg Products
Egg Whole Baked Fat Not Added In Cooking,100.0,g,11.5,8.6,1.9,134.0,Dairy and Egg Products
Egg Whole Baked Ns As To Fat Added In Cooking,100.0,g,10.9,12.7,1.8,168.0,Dairy and Egg Products
Egg Whole Boiled Or Poached,100.0,g,12.5,9.4,0.7,142.0,Dairy and Egg Products
Egg Whole Cooked Ns As To Cooking Method,100.0,g,12.3,13.5,1.1,179.0,Dairy and Egg Products
Egg Whole Dried Stabilized Glucose Reduced,100.0,g,48.2,44.0,2.4,615.0,Dairy and Egg Products
Egg Whole Fried Ns As To Fat Added In Cooking,100.0,g,13.3,16.4,0.8,207.0,Dairy and Egg Products
Egg Whole Fried Ns As To Type Of Fat,100.0,g,13.3,16.4,0.8,207.0,Dairy and Egg Products
Egg Whole Fried With Animal Fat Or Meat Drippings,100.0,g,13.5,16.4,0.8,209.0,Dairy and Egg Products
Egg Whole Fried With Butter,100.0,g,13.3,16.1,0.8,204.0,Dairy and Egg Products
Egg Whole Fried With Cooking Spray,100.0,g,14.1,11.2,0.9,166.0,Dairy and Egg Products
Egg Whole Fried With Margarine,100.0,g,13.2,16.1,0.8,204.0,Dairy and Egg Products
Egg Whole Fried With Oil,100.0,g,13.3,17.2,0.8,215.0,Dairy and Egg Products
Egg Whole Fried Without Fat,100.0,g,14.2,10.7,0.8,161.0,Dairy and Egg Products
Egg Whole Pickled,100.0,g,12.5,10.5,1.1,154.0,Dairy and Egg Products
Egg Whole Raw Frozen Pasteurized,100.0,g,12.3,9.9,1.0,147.0,Dairy and Egg Products
Egg Whole Raw Frozen Salted Pasteurized,100.0,g,11.0,10.1,0.8,138.0,Dairy and Egg Products
Egg Yolk Dried,100.0,g,33.6,59.1,0.7,669.0,Dairy and Egg Products
Egg Yolk Only Cooked Fat Added In Cooking,100.0,g,16.8,35.2,3.8,404.0,Dairy and Egg Products
Egg Yolk Only Cooked Fat Not Added In Cooking,100.0,g,17.9,29.9,4.0,363.0,Dairy and Egg Products
Egg Yolk Only Cooked Ns As To Fat Added In Cooking,100.0,g,16.8,35.2,3.8,404.0,Dairy and Egg Products
Egg Yolk Raw Frozen Pasteurized,100.0,g,15.5,25.6,0.8,296.0,Dairy and Egg Products
Egg Yolk Raw Frozen Salted Pasteurized,100.0,g,14.1,22.9,1.8,275.0,Dairy and Egg Products
Egg Yolk Raw Frozen Sugared Pasteurized,100.0,g,13.9,22.8,10.9,307.0,Dairy and Egg Products
Egg Yolks (Raw),100.0,g,15.9,26.5,3.6,322.0,Dairy and Egg Products
"Egg, white, dried",1.0,tablespoon,5.6,0.0,0.4,26.3,Dairy and Egg Products
"Egg, white, raw, frozen, pasteurized",1.0,oz,2.9,0.0,0.2,13.6,Dairy and Egg Products
"Egg, whole, dried",1.0,oz,13.7,11.3,0.5,163.3,Dairy and Egg Products
"Egg, whole, raw, frozen, pasteurized",1.0,oz,3.5,2.9,0.3,42.6,Dairy and Egg Products
"Egg, yolk, dried",1.0,oz,9.7,15.8,0.3,185.7,Dairy and Egg Products
"Egg, yolk, raw, frozen, pasteurized",1.0,oz,4.4,7.1,0.2,84.1,Dairy and Egg Products
Eggnog,100.0,g,4.5,4.2,8.1,88.0,Dairy and Egg Products
Eggnog Alcoholic,100.0,g,3.7,3.5,6.6,113.0,Beverages
Eggnog Lowfat / Light,100.0,g,4.7,3.2,6.5,74.0,Dairy and Egg Products
Eggnog-Flavor Mix Powder Prepared With Whole Milk,100.0,g,2.9,3.0,14.2,95.0,Beverages
Eggplant,100.0,g,1.0,0.2,5.9,25.0,Vegetables
Eggplant And Meat Casserole,100.0,g,7.0,5.5,5.5,98.0,Meats
Eggplant Batter-Dipped Fried,100.0,g,2.4,10.9,11.9,151.0,Vegetables
Eggplant Cooked Boiled Drained With Salt,100.0,g,0.8,0.2,8.1,33.0,Vegetables
Eggplant Cooked Fat Added In Cooking Ns As To Type Of Fat,100.0,g,0.8,3.6,8.3,63.0,Vegetables
Eggplant Cooked Fat Not Added In Cooking,100.0,g,0.8,0.2,8.6,35.0,Vegetables
Eggplant Cooked Made With Butter,100.0,g,0.8,4.0,8.2,66.0,Vegetables
Eggplant Cooked Made With Margarine,100.0,g,0.8,3.0,8.3,58.0,Vegetables
Eggplant Cooked Made With Oil,100.0,g,0.8,4.7,8.2,73.0,Vegetables
Eggplant Cooked Ns As To Fat Added In Cooking,100.0,g,0.8,3.6,8.3,63.0,Vegetables
Eggplant Dip,100.0,g,4.1,13.2,11.2,167.0,Soups and Sauces
Eggplant In Tomato Sauce Cooked Fat Not Added In Cooking,100.0,g,1.0,0.3,7.1,30.0,Vegetables
Eggplant Parmesan Casserole Regular,100.0,g,6.6,11.2,8.7,158.0,Vegetables
Eggplant Pickled,100.0,g,0.9,0.7,9.8,49.0,Vegetables
Eggplant With Cheese And Tomato Sauce,100.0,g,6.0,4.8,8.0,94.0,Vegetables
"Eggplant, raw",100.0,g,0.9,0.1,5.4,,Vegetables and Vegetable Products
Eggs (Raw),100.0,g,12.6,9.5,0.7,143.0,Dairy and Egg Products
Eggs A La Malaguena Puerto Rican Style,100.0,g,8.4,4.7,5.0,96.0,Dairy and Egg Products
Eggs Scrambled Frozen Mixture,100.0,g,13.1,5.6,7.5,131.0,Dairy and Egg Products
"Eggs, Grade A, Large, egg white",1.0,egg,3.6,0.0,0.8,18.7,Dairy and Egg Products
"Eggs, Grade A, Large, egg whole",1.0,egg,6.2,5.0,0.5,74.4,Dairy and Egg Products
"Eggs, Grade A, Large, egg yolk",1.0,egg,2.8,4.9,0.2,56.8,Dairy and Egg Products
"Einkorn, grain, dry, raw",100.0,g,15.1,3.8,68.7,,Cereal Grains and Pasta
Elderberries,100.0,g,0.7,0.5,18.4,73.0,Fruits
Elk Free Range Ground Cooked Patties (Shoshone Bannock),100.0,g,29.4,2.8,0.0,143.0,American Indian
Elk Free Range Ground Raw (Shoshone Bannock),100.0,g,20.1,1.8,0.0,97.0,American Indian
Elk Free Range Roast Eye Of Round Cooked (Shoshone Bannock),100.0,g,30.6,2.9,0.0,148.0,American Indian
